Property,Parameter,Event Number,Event Name,Parameter Value
Density,Prior distribution type,1,Sed,Gaussian
Density,Prior distribution paramter 1,1,Sed,2.328
Density,Prior distribution paramter 2,1,Sed,0.189
Density,Prior distribution type,1,Felsic,Gaussian
Density,Prior distribution paramter 1,1,Felsic,2.386
Density,Prior distribution paramter 2,1,Felsic,0.149
Density,Prior distribution type,1,Mafic,Gaussian
Density,Prior distribution paramter 1,1,Mafic,2.531
Density,Prior distribution paramter 2,1,Mafic,0.106
Density,Prior distribution type,1,Intrusive,Gaussian
Density,Prior distribution paramter 1,1,Intrusive,2.64396
Density,Prior distribution paramter 2,1,Intrusive,0.193
Plunge Direction,Prior distribution type,2,Stratigraphy Tilting,Uniform
Plunge Direction,Prior distribution paramter 1,2,Stratigraphy Tilting,300
Plunge Direction,Prior distribution paramter 2,2,Stratigraphy Tilting,330
Rotation,Prior distribution type,2,Stratigraphy Tilting,Uniform
Rotation,Prior distribution paramter 1,2,Stratigraphy Tilting,0
Rotation,Prior distribution paramter 2,2,Stratigraphy Tilting,1
X, Prior distribution type, 3,Fault,Uniform
X, Prior distribution paramter 1, 3,Fault,2652.378111
X, Prior distribution paramter 2, 3,Fault,2912.378111
Y, Prior distribution type, 3,Fault,Uniform
Y, Prior distribution paramter 1, 3,Fault,2475.671328
Y, Prior distribution paramter 2, 3,Fault,2735.671328
Z, Prior distribution type, 3,Fault,Uniform
Z, Prior distribution paramter 1, 3,Fault,3870.0
Z, Prior distribution paramter 2, 3,Fault,4130.0
XAxis, Prior distribution type, 3,Fault,Uniform
XAxis, Prior distribution paramter 1, 3,Fault,2536.95185515
XAxis, Prior distribution paramter 2, 3,Fault,2803.99941885
YAxis, Prior distribution type, 3,Fault,Uniform
YAxis, Prior distribution paramter 1, 3,Fault,2536.95185515
YAxis, Prior distribution paramter 2, 3,Fault,2803.99941885
ZAxis, Prior distribution type, 3,Fault,Uniform
ZAxis, Prior distribution paramter 1, 3,Fault,2536.95185515
ZAxis, Prior distribution paramter 2, 3,Fault,2803.99941885
Dip, Prior distribution type, 3,Fault,Uniform
Dip, Prior distribution paramter 1, 3,Fault,60
Dip, Prior distribution paramter 2, 3,Fault,80
Dip Direction, Prior distribution type, 3,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 3,Fault,52.313771
Dip Direction, Prior distribution paramter 2, 3,Fault,72.313771
Slip, Prior distribution type, 3,Fault,Uniform
Slip, Prior distribution paramter 1, 3,Fault,170.9104408
Slip, Prior distribution paramter 2, 3,Fault,213.638051
X, Prior distribution type, 4,Fault,Uniform
X, Prior distribution paramter 1, 4,Fault,2454.357427
X, Prior distribution paramter 2, 4,Fault,2714.357427
Y, Prior distribution type, 4,Fault,Uniform
Y, Prior distribution paramter 1, 4,Fault,3920.221494
Y, Prior distribution paramter 2, 4,Fault,4180.221493999999
Z, Prior distribution type, 4,Fault,Uniform
Z, Prior distribution paramter 1, 4,Fault,3870.0
Z, Prior distribution paramter 2, 4,Fault,4130.0
XAxis, Prior distribution type, 4,Fault,Uniform
XAxis, Prior distribution paramter 1, 4,Fault,1521.97653675
XAxis, Prior distribution paramter 2, 4,Fault,1682.18459325
YAxis, Prior distribution type, 4,Fault,Uniform
YAxis, Prior distribution paramter 1, 4,Fault,1521.97653675
YAxis, Prior distribution paramter 2, 4,Fault,1682.18459325
ZAxis, Prior distribution type, 4,Fault,Uniform
ZAxis, Prior distribution paramter 1, 4,Fault,1521.97653675
ZAxis, Prior distribution paramter 2, 4,Fault,1682.18459325
Dip, Prior distribution type, 4,Fault,Uniform
Dip, Prior distribution paramter 1, 4,Fault,60
Dip, Prior distribution paramter 2, 4,Fault,80
Dip Direction, Prior distribution type, 4,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 4,Fault,222.201055
Dip Direction, Prior distribution paramter 2, 4,Fault,242.201055
Slip, Prior distribution type, 4,Fault,Uniform
Slip, Prior distribution paramter 1, 4,Fault,102.53315600000002
Slip, Prior distribution paramter 2, 4,Fault,128.166445
X, Prior distribution type, 5,Fault,Uniform
X, Prior distribution paramter 1, 5,Fault,1289.373351
X, Prior distribution paramter 2, 5,Fault,1549.373351
Y, Prior distribution type, 5,Fault,Uniform
Y, Prior distribution paramter 1, 5,Fault,5473.025322
Y, Prior distribution paramter 2, 5,Fault,5733.025322
Z, Prior distribution type, 5,Fault,Uniform
Z, Prior distribution paramter 1, 5,Fault,3870.0
Z, Prior distribution paramter 2, 5,Fault,4130.0
XAxis, Prior distribution type, 5,Fault,Uniform
XAxis, Prior distribution paramter 1, 5,Fault,1213.85388445
XAxis, Prior distribution paramter 2, 5,Fault,1341.6279775500002
YAxis, Prior distribution type, 5,Fault,Uniform
YAxis, Prior distribution paramter 1, 5,Fault,1213.85388445
YAxis, Prior distribution paramter 2, 5,Fault,1341.6279775500002
ZAxis, Prior distribution type, 5,Fault,Uniform
ZAxis, Prior distribution paramter 1, 5,Fault,1213.85388445
ZAxis, Prior distribution paramter 2, 5,Fault,1341.6279775500002
Dip, Prior distribution type, 5,Fault,Uniform
Dip, Prior distribution paramter 1, 5,Fault,60
Dip, Prior distribution paramter 2, 5,Fault,80
Dip Direction, Prior distribution type, 5,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 5,Fault,295.02527
Dip Direction, Prior distribution paramter 2, 5,Fault,315.02527
Slip, Prior distribution type, 5,Fault,Uniform
Slip, Prior distribution paramter 1, 5,Fault,81.77542
Slip, Prior distribution paramter 2, 5,Fault,102.219275
X, Prior distribution type, 6,Fault,Uniform
X, Prior distribution paramter 1, 6,Fault,4497.478539
X, Prior distribution paramter 2, 6,Fault,4757.478539
Y, Prior distribution type, 6,Fault,Uniform
Y, Prior distribution paramter 1, 6,Fault,3450.512426
Y, Prior distribution paramter 2, 6,Fault,3710.512426
Z, Prior distribution type, 6,Fault,Uniform
Z, Prior distribution paramter 1, 6,Fault,3870.0
Z, Prior distribution paramter 2, 6,Fault,4130.0
XAxis, Prior distribution type, 6,Fault,Uniform
XAxis, Prior distribution paramter 1, 6,Fault,1716.82234995
XAxis, Prior distribution paramter 2, 6,Fault,1897.54049205
YAxis, Prior distribution type, 6,Fault,Uniform
