Property,Parameter,Event Number,Event Name,Parameter Value
Density,Prior distribution type,1,Sed,Gaussian
Density,Prior distribution paramter 1,1,Sed,2.328
Density,Prior distribution paramter 2,1,Sed,0.189
Density,Prior distribution type,1,Felsic,Gaussian
Density,Prior distribution paramter 1,1,Felsic,2.386
Density,Prior distribution paramter 2,1,Felsic,0.149
Density,Prior distribution type,1,Mafic,Gaussian
Density,Prior distribution paramter 1,1,Mafic,2.531
Density,Prior distribution paramter 2,1,Mafic,0.106
Density,Prior distribution type,1,Intrusive,Gaussian
Density,Prior distribution paramter 1,1,Intrusive,2.64396
Density,Prior distribution paramter 2,1,Intrusive,0.193
Plunge Direction,Prior distribution type,2,Stratigraphy Tilting,Uniform
Plunge Direction,Prior distribution paramter 1,2,Stratigraphy Tilting,300
Plunge Direction,Prior distribution paramter 2,2,Stratigraphy Tilting,330
Rotation,Prior distribution type,2,Stratigraphy Tilting,Uniform
Rotation,Prior distribution paramter 1,2,Stratigraphy Tilting,0
Rotation,Prior distribution paramter 2,2,Stratigraphy Tilting,1
X, Prior distribution type, 3,Fault,Uniform
X, Prior distribution paramter 1, 3,Fault,2079.530903
X, Prior distribution paramter 2, 3,Fault,2339.530903
Y, Prior distribution type, 3,Fault,Uniform
Y, Prior distribution paramter 1, 3,Fault,6566.82818
Y, Prior distribution paramter 2, 3,Fault,6826.82818
Z, Prior distribution type, 3,Fault,Uniform
Z, Prior distribution paramter 1, 3,Fault,3870.0
Z, Prior distribution paramter 2, 3,Fault,4130.0
XAxis, Prior distribution type, 3,Fault,Uniform
XAxis, Prior distribution paramter 1, 3,Fault,5164.081823799999
XAxis, Prior distribution paramter 2, 3,Fault,5707.6693842
YAxis, Prior distribution type, 3,Fault,Uniform
YAxis, Prior distribution paramter 1, 3,Fault,5164.081823799999
YAxis, Prior distribution paramter 2, 3,Fault,5707.6693842
ZAxis, Prior distribution type, 3,Fault,Uniform
ZAxis, Prior distribution paramter 1, 3,Fault,5164.081823799999
ZAxis, Prior distribution paramter 2, 3,Fault,5707.6693842
Dip, Prior distribution type, 3,Fault,Uniform
Dip, Prior distribution paramter 1, 3,Fault,60
Dip, Prior distribution paramter 2, 3,Fault,80
Dip Direction, Prior distribution type, 3,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 3,Fault,291.166351
Dip Direction, Prior distribution paramter 2, 3,Fault,311.166351
Slip, Prior distribution type, 3,Fault,Uniform
Slip, Prior distribution paramter 1, 3,Fault,347.8960384
Slip, Prior distribution paramter 2, 3,Fault,434.870048
X, Prior distribution type, 4,Fault,Uniform
X, Prior distribution paramter 1, 4,Fault,3534.313485
X, Prior distribution paramter 2, 4,Fault,3794.313485
Y, Prior distribution type, 4,Fault,Uniform
Y, Prior distribution paramter 1, 4,Fault,5967.280847
Y, Prior distribution paramter 2, 4,Fault,6227.280847
Z, Prior distribution type, 4,Fault,Uniform
Z, Prior distribution paramter 1, 4,Fault,3870.0
Z, Prior distribution paramter 2, 4,Fault,4130.0
XAxis, Prior distribution type, 4,Fault,Uniform
XAxis, Prior distribution paramter 1, 4,Fault,6546.9679362
XAxis, Prior distribution paramter 2, 4,Fault,7236.1224558
YAxis, Prior distribution type, 4,Fault,Uniform
YAxis, Prior distribution paramter 1, 4,Fault,6546.9679362
YAxis, Prior distribution paramter 2, 4,Fault,7236.1224558
ZAxis, Prior distribution type, 4,Fault,Uniform
ZAxis, Prior distribution paramter 1, 4,Fault,6546.9679362
ZAxis, Prior distribution paramter 2, 4,Fault,7236.1224558
Dip, Prior distribution type, 4,Fault,Uniform
Dip, Prior distribution paramter 1, 4,Fault,60
Dip, Prior distribution paramter 2, 4,Fault,80
Dip Direction, Prior distribution type, 4,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 4,Fault,299.564153
Dip Direction, Prior distribution paramter 2, 4,Fault,319.564153
Slip, Prior distribution type, 4,Fault,Uniform
Slip, Prior distribution paramter 1, 4,Fault,441.0588928
Slip, Prior distribution paramter 2, 4,Fault,551.323616
X, Prior distribution type, 5,Fault,Uniform
X, Prior distribution paramter 1, 5,Fault,4733.070289
X, Prior distribution paramter 2, 5,Fault,4993.070289
Y, Prior distribution type, 5,Fault,Uniform
Y, Prior distribution paramter 1, 5,Fault,4954.450299
Y, Prior distribution paramter 2, 5,Fault,5214.450299
Z, Prior distribution type, 5,Fault,Uniform
Z, Prior distribution paramter 1, 5,Fault,3870.0
Z, Prior distribution paramter 2, 5,Fault,4130.0
XAxis, Prior distribution type, 5,Fault,Uniform
XAxis, Prior distribution paramter 1, 5,Fault,4243.25399915
XAxis, Prior distribution paramter 2, 5,Fault,4689.91231485
YAxis, Prior distribution type, 5,Fault,Uniform
YAxis, Prior distribution paramter 1, 5,Fault,4243.25399915
YAxis, Prior distribution paramter 2, 5,Fault,4689.91231485
ZAxis, Prior distribution type, 5,Fault,Uniform
ZAxis, Prior distribution paramter 1, 5,Fault,4243.25399915
ZAxis, Prior distribution paramter 2, 5,Fault,4689.91231485
Dip, Prior distribution type, 5,Fault,Uniform
Dip, Prior distribution paramter 1, 5,Fault,60
Dip, Prior distribution paramter 2, 5,Fault,80
Dip Direction, Prior distribution type, 5,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 5,Fault,293.063675
Dip Direction, Prior distribution paramter 2, 5,Fault,313.063675
Slip, Prior distribution type, 5,Fault,Uniform
Slip, Prior distribution paramter 1, 5,Fault,285.8613224
Slip, Prior distribution paramter 2, 5,Fault,357.326653
X, Prior distribution type, 6,Fault,Uniform
X, Prior distribution paramter 1, 6,Fault,6075.032172
X, Prior distribution paramter 2, 6,Fault,6335.032172
Y, Prior distribution type, 6,Fault,Uniform
Y, Prior distribution paramter 1, 6,Fault,5958.437941
Y, Prior distribution paramter 2, 6,Fault,6218.437941
Z, Prior distribution type, 6,Fault,Uniform
Z, Prior distribution paramter 1, 6,Fault,3870.0
Z, Prior distribution paramter 2, 6,Fault,4130.0
XAxis, Prior distribution type, 6,Fault,Uniform
XAxis, Prior distribution paramter 1, 6,Fault,5373.3369197
XAxis, Prior distribution paramter 2, 6,Fault,5938.9513323
YAxis, Prior distribution type, 6,Fault,Uniform
YAxis, Prior distribution paramter 1, 6,Fault,5373.3369197
